station_id,station_name,series_ticker,event_ticker,market_date,winning_ticker,yes_sub_title,no_sub_title,result,close_time,volume_fp
KNYC,New York Central Park,KXHIGHNY,KXHIGHNY-26APR08,2026-04-08,KXHIGHNY-26APR08-B50.5,50° to 51°,50° to 51°,yes,2026-04-09T04:59:00Z,55613.00
KOKC,Oklahoma City Will Rogers,KXHIGHTOKC,KXHIGHTOKC-26APR08,2026-04-08,KXHIGHTOKC-26APR08-B75.5,75° to 76°,75° to 76°,yes,2026-04-09T06:00:00Z,9466.00
KORD,Chicago OHare,KXHIGHCHI,KXHIGHCHI-26APR08,2026-04-08,KXHIGHCHI-26APR08-T70,71° or above,71° or above,yes,2026-04-09T05:59:00Z,35551.00
KPHL,Philadelphia International,KXHIGHPHIL,KXHIGHPHIL-26APR08,2026-04-08,KXHIGHPHIL-26APR08-B55.5,55° to 56°,55° to 56°,yes,2026-04-09T04:59:00Z,9102.00
KPHX,Phoenix Sky Harbor,KXHIGHTPHX,KXHIGHTPHX-26APR08,2026-04-08,KXHIGHTPHX-26APR08-B98.5,98° to 99°,98° to 99°,yes,2026-04-09T07:00:00Z,15397.00
KSAT,San Antonio International,KXHIGHTSATX,KXHIGHTSATX-26APR08,2026-04-08,KXHIGHTSATX-26APR08-B80.5,80° to 81°,80° to 81°,yes,2026-04-09T06:00:00Z,10700.00
KSEA,Seattle Tacoma,KXHIGHTSEA,KXHIGHTSEA-26APR08,2026-04-08,KXHIGHTSEA-26APR08-B60.5,60° to 61°,60° to 61°,yes,2026-04-09T08:00:00Z,9620.00
KSFO,San Francisco International,KXHIGHTSFO,KXHIGHTSFO-26APR08,2026-04-08,KXHIGHTSFO-26APR08-B72.5,72° to 73°,72° to 73°,yes,2026-04-09T08:00:00Z,19105.00
KATL,Atlanta Hartsfield,KXHIGHTATL,KXHIGHTATL-26APR09,2026-04-09,KXHIGHTATL-26APR09-B71.5,71° to 72°,71° to 72°,yes,2026-04-10T05:00:00Z,10428.65
KAUS,Austin Bergstrom,KXHIGHAUS,KXHIGHAUS-26APR09,2026-04-09,KXHIGHAUS-26APR09-B84.5,84° to 85°,84° to 85°,yes,2026-04-10T05:59:00Z,26757.69
KBOS,Boston Logan,KXHIGHTBOS,KXHIGHTBOS-26APR09,2026-04-09,KXHIGHTBOS-26APR09-B57.5,57° to 58°,57° to 58°,yes,2026-04-10T05:00:00Z,9744.33
KDCA,Washington Reagan National,KXHIGHTDC,KXHIGHTDC-26APR09,2026-04-09,KXHIGHTDC-26APR09-B63.5,63° to 64°,63° to 64°,yes,2026-04-10T05:00:00Z,7638.28
KDEN,Denver International,KXHIGHDEN,KXHIGHDEN-26APR09,2026-04-09,KXHIGHDEN-26APR09-B73.5,73° to 74°,73° to 74°,yes,2026-04-10T06:59:00Z,13481.05
KDFW,Dallas Fort Worth,KXHIGHTDAL,KXHIGHTDAL-26APR09,2026-04-09,KXHIGHTDAL-26APR09-B81.5,81° to 82°,81° to 82°,yes,2026-04-10T06:00:00Z,13276.79
KHOU,Houston Hobby,KXHIGHTHOU,KXHIGHTHOU-26APR09,2026-04-09,KXHIGHTHOU-26APR09-B81.5,81° to 82°,81° to 82°,yes,2026-04-10T06:00:00Z,6515.49
KLAS,Las Vegas Reid International,KXHIGHTLV,KXHIGHTLV-26APR09,2026-04-09,KXHIGHTLV-26APR09-B88.5,88° to 89°,88° to 89°,yes,2026-04-10T08:00:00Z,13430.13
KLAX,Los Angeles International,KXHIGHLAX,KXHIGHLAX-26APR09,2026-04-09,KXHIGHLAX-26APR09-B72.5,72° to 73°,72° to 73°,yes,2026-04-10T07:59:00Z,47093.30
KMIA,Miami International,KXHIGHMIA,KXHIGHMIA-26APR09,2026-04-09,KXHIGHMIA-26APR09-B78.5,78° to 79°,78° to 79°,yes,2026-04-10T04:59:00Z,58525.11
KMSP,Minneapolis St Paul,KXHIGHTMIN,KXHIGHTMIN-26APR09,2026-04-09,KXHIGHTMIN-26APR09-B48.5,48° to 49°,48° to 49°,yes,2026-04-10T06:00:00Z,6405.41
KMSY,New Orleans Armstrong,KXHIGHTNOLA,KXHIGHTNOLA-26APR09,2026-04-09,KXHIGHTNOLA-26APR09-B74.5,74° to 75°,74° to 75°,yes,2026-04-10T06:00:00Z,4449.66
KNYC,New York Central Park,KXHIGHNY,KXHIGHNY-26APR09,2026-04-09,KXHIGHNY-26APR09-T53,52° or below,52° or below,yes,2026-04-10T04:59:00Z,66380.76
