station_id,station_name,forecast_issued_utc,forecast_issued_local,forecast_for_date,forecast_high_f,n_hours_in_forecast
KSFO,San Francisco International,2026-04-04 02:31 UTC,2026-04-03 19:32 PDT,2026-04-04,80,24
KSFO,San Francisco International,2026-04-04 07:01 UTC,2026-04-04 00:02 PDT,2026-04-05,75,24
KSFO,San Francisco International,2026-04-04 08:41 UTC,2026-04-04 01:41 PDT,2026-04-05,75,24
KSFO,San Francisco International,2026-04-04 10:33 UTC,2026-04-04 03:33 PDT,2026-04-05,75,24
KSFO,San Francisco International,2026-04-04 12:55 UTC,2026-04-04 05:55 PDT,2026-04-05,75,24
KSFO,San Francisco International,2026-04-04 14:34 UTC,2026-04-04 07:34 PDT,2026-04-05,75,24
KSFO,San Francisco International,2026-04-04 16:36 UTC,2026-04-04 09:36 PDT,2026-04-05,75,24
KSFO,San Francisco International,2026-04-04 18:42 UTC,2026-04-04 11:42 PDT,2026-04-05,74,24
