station_id,station_name,forecast_issued_utc,forecast_issued_local,forecast_for_date,forecast_high_f,n_hours_in_forecast
KORD,Chicago OHare,2026-04-07 13:19 UTC,2026-04-07 08:19 CDT,2026-04-08,65,24
KORD,Chicago OHare,2026-04-07 15:08 UTC,2026-04-07 10:08 CDT,2026-04-08,65,24
KORD,Chicago OHare,2026-04-07 16:59 UTC,2026-04-07 11:59 CDT,2026-04-08,66,24
KORD,Chicago OHare,2026-04-07 19:03 UTC,2026-04-07 14:04 CDT,2026-04-08,66,24
KORD,Chicago OHare,2026-04-07 20:48 UTC,2026-04-07 15:48 CDT,2026-04-08,66,24
KORD,Chicago OHare,2026-04-07 23:07 UTC,2026-04-07 18:08 CDT,2026-04-08,66,24
KORD,Chicago OHare,2026-04-08 02:25 UTC,2026-04-07 21:25 CDT,2026-04-08,66,24
KORD,Chicago OHare,2026-04-08 05:47 UTC,2026-04-08 00:48 CDT,2026-04-09,67,24
KORD,Chicago OHare,2026-04-08 07:20 UTC,2026-04-08 02:20 CDT,2026-04-09,67,24
KORD,Chicago OHare,2026-04-08 09:01 UTC,2026-04-08 04:01 CDT,2026-04-09,67,24
KORD,Chicago OHare,2026-04-08 13:24 UTC,2026-04-08 08:24 CDT,2026-04-09,67,24
KORD,Chicago OHare,2026-04-08 15:11 UTC,2026-04-08 10:11 CDT,2026-04-09,67,24
KORD,Chicago OHare,2026-04-08 17:02 UTC,2026-04-08 12:02 CDT,2026-04-09,67,24
KORD,Chicago OHare,2026-04-08 19:16 UTC,2026-04-08 14:16 CDT,2026-04-09,67,24
KORD,Chicago OHare,2026-04-08 20:42 UTC,2026-04-08 15:43 CDT,2026-04-09,67,24
KORD,Chicago OHare,2026-04-08 22:39 UTC,2026-04-08 17:40 CDT,2026-04-09,67,24
KORD,Chicago OHare,2026-04-09 02:11 UTC,2026-04-08 21:11 CDT,2026-04-09,67,24
KORD,Chicago OHare,2026-04-09 05:49 UTC,2026-04-09 00:49 CDT,2026-04-10,53,24
KORD,Chicago OHare,2026-04-09 07:22 UTC,2026-04-09 02:22 CDT,2026-04-10,54,24
KORD,Chicago OHare,2026-04-09 09:07 UTC,2026-04-09 04:07 CDT,2026-04-10,54,24
KORD,Chicago OHare,2026-04-09 13:27 UTC,2026-04-09 08:27 CDT,2026-04-10,54,24
KORD,Chicago OHare,2026-04-09 15:24 UTC,2026-04-09 10:24 CDT,2026-04-10,54,24
KORD,Chicago OHare,2026-04-09 17:08 UTC,2026-04-09 12:08 CDT,2026-04-10,54,24
KORD,Chicago OHare,2026-04-09 19:07 UTC,2026-04-09 14:07 CDT,2026-04-10,52,24
KORD,Chicago OHare,2026-04-09 20:52 UTC,2026-04-09 15:52 CDT,2026-04-10,52,24
KORD,Chicago OHare,2026-04-10 02:30 UTC,2026-04-09 21:30 CDT,2026-04-10,52,24
