station_id,station_name,forecast_issued_utc,forecast_for_date,forecast_high_f,n_hours_in_forecast,forecast_issued_local
KNYC,New York Central Park,2026-04-04 14:34 UTC,2026-04-05,62,24,2026-04-04 10:34 EDT
KNYC,New York Central Park,2026-04-04 16:36 UTC,2026-04-05,62,24,2026-04-04 12:36 EDT
KNYC,New York Central Park,2026-04-04 18:42 UTC,2026-04-05,62,24,2026-04-04 14:42 EDT
KNYC,New York Central Park,2026-04-04 20:32 UTC,2026-04-05,62,24,2026-04-04 16:32 EDT
KNYC,New York Central Park,2026-04-04 22:30 UTC,2026-04-05,62,24,2026-04-04 18:30 EDT
KNYC,New York Central Park,2026-04-05 05:45 UTC,2026-04-06,54,24,2026-04-05 01:45 EDT
KNYC,New York Central Park,2026-04-05 07:06 UTC,2026-04-06,54,24,2026-04-05 03:06 EDT
KNYC,New York Central Park,2026-04-05 08:42 UTC,2026-04-06,54,24,2026-04-05 04:43 EDT
KNYC,New York Central Park,2026-04-05 10:34 UTC,2026-04-06,54,24,2026-04-05 06:34 EDT
KNYC,New York Central Park,2026-04-05 12:57 UTC,2026-04-06,54,24,2026-04-05 08:57 EDT
KNYC,New York Central Park,2026-04-05 14:37 UTC,2026-04-06,54,24,2026-04-05 10:37 EDT
KNYC,New York Central Park,2026-04-05 16:37 UTC,2026-04-06,54,24,2026-04-05 12:37 EDT
KNYC,New York Central Park,2026-04-05 18:44 UTC,2026-04-06,54,24,2026-04-05 14:44 EDT
KNYC,New York Central Park,2026-04-05 20:33 UTC,2026-04-06,55,24,2026-04-05 16:33 EDT
KNYC,New York Central Park,2026-04-05 22:31 UTC,2026-04-06,55,24,2026-04-05 18:31 EDT
KNYC,New York Central Park,2026-04-06 05:59 UTC,2026-04-07,50,24,2026-04-06 01:59 EDT
KNYC,New York Central Park,2026-04-06 07:58 UTC,2026-04-07,49,24,2026-04-06 03:58 EDT
KNYC,New York Central Park,2026-04-06 09:17 UTC,2026-04-07,49,24,2026-04-06 05:17 EDT
KNYC,New York Central Park,2026-04-06 10:57 UTC,2026-04-07,49,24,2026-04-06 06:57 EDT
KNYC,New York Central Park,2026-04-06 13:10 UTC,2026-04-07,49,24,2026-04-06 09:10 EDT
KNYC,New York Central Park,2026-04-06 14:47 UTC,2026-04-07,49,24,2026-04-06 10:47 EDT
KNYC,New York Central Park,2026-04-06 16:47 UTC,2026-04-07,49,24,2026-04-06 12:47 EDT
KNYC,New York Central Park,2026-04-06 18:59 UTC,2026-04-07,50,24,2026-04-06 14:59 EDT
KNYC,New York Central Park,2026-04-06 20:38 UTC,2026-04-07,50,24,2026-04-06 16:38 EDT
KNYC,New York Central Park,2026-04-06 22:37 UTC,2026-04-07,50,24,2026-04-06 18:37 EDT
KNYC,New York Central Park,2026-04-07 05:47 UTC,2026-04-08,45,24,2026-04-07 01:47 EDT
KNYC,New York Central Park,2026-04-07 07:17 UTC,2026-04-08,44,24,2026-04-07 03:17 EDT
KNYC,New York Central Park,2026-04-07 09:24 UTC,2026-04-08,44,24,2026-04-07 05:24 EDT
KNYC,New York Central Park,2026-04-07 10:55 UTC,2026-04-08,44,24,2026-04-07 06:55 EDT
KNYC,New York Central Park,2026-04-07 13:19 UTC,2026-04-08,44,24,2026-04-07 09:19 EDT
KNYC,New York Central Park,2026-04-07 15:08 UTC,2026-04-08,44,24,2026-04-07 11:08 EDT
KNYC,New York Central Park,2026-04-07 16:59 UTC,2026-04-08,44,24,2026-04-07 12:59 EDT
KNYC,New York Central Park,2026-04-07 19:03 UTC,2026-04-08,47,24,2026-04-07 15:03 EDT
KNYC,New York Central Park,2026-04-07 20:48 UTC,2026-04-08,47,24,2026-04-07 16:48 EDT
KNYC,New York Central Park,2026-04-07 23:07 UTC,2026-04-08,47,24,2026-04-07 19:08 EDT
KNYC,New York Central Park,2026-04-08 05:47 UTC,2026-04-09,50,24,2026-04-08 01:47 EDT
KNYC,New York Central Park,2026-04-08 07:20 UTC,2026-04-09,50,24,2026-04-08 03:20 EDT
KNYC,New York Central Park,2026-04-08 09:01 UTC,2026-04-09,50,24,2026-04-08 05:01 EDT
KNYC,New York Central Park,2026-04-08 13:24 UTC,2026-04-09,50,24,2026-04-08 09:24 EDT
KNYC,New York Central Park,2026-04-08 15:11 UTC,2026-04-09,50,24,2026-04-08 11:11 EDT
KNYC,New York Central Park,2026-04-08 17:02 UTC,2026-04-09,50,24,2026-04-08 13:02 EDT
KNYC,New York Central Park,2026-04-08 19:16 UTC,2026-04-09,50,24,2026-04-08 15:16 EDT
KNYC,New York Central Park,2026-04-08 20:42 UTC,2026-04-09,50,24,2026-04-08 16:42 EDT
KNYC,New York Central Park,2026-04-08 22:39 UTC,2026-04-09,50,24,2026-04-08 18:39 EDT
KNYC,New York Central Park,2026-04-09 05:49 UTC,2026-04-10,61,24,2026-04-09 01:49 EDT
KNYC,New York Central Park,2026-04-09 07:22 UTC,2026-04-10,61,24,2026-04-09 03:22 EDT
KNYC,New York Central Park,2026-04-09 09:07 UTC,2026-04-10,62,24,2026-04-09 05:07 EDT
