station_id,station_name,forecast_issued_utc,forecast_issued_local,forecast_for_date,forecast_high_f,n_hours_in_forecast
KMSY,New Orleans Armstrong,2026-04-04 02:31 UTC,2026-04-03 21:32 CDT,2026-04-04,82,24
KMSY,New Orleans Armstrong,2026-04-04 05:22 UTC,2026-04-04 00:22 CDT,2026-04-05,72,24
KMSY,New Orleans Armstrong,2026-04-04 07:01 UTC,2026-04-04 02:02 CDT,2026-04-05,72,24
KMSY,New Orleans Armstrong,2026-04-04 08:41 UTC,2026-04-04 03:41 CDT,2026-04-05,72,24
KMSY,New Orleans Armstrong,2026-04-04 10:33 UTC,2026-04-04 05:33 CDT,2026-04-05,72,24
KMSY,New Orleans Armstrong,2026-04-04 12:55 UTC,2026-04-04 07:55 CDT,2026-04-05,72,24
KMSY,New Orleans Armstrong,2026-04-04 14:34 UTC,2026-04-04 09:34 CDT,2026-04-05,72,24
KMSY,New Orleans Armstrong,2026-04-04 16:36 UTC,2026-04-04 11:36 CDT,2026-04-05,72,24
